file|algorithm|peak|stack|time|substring_size
real-kernel|GCX-y32|139517589|6291456|0,007138127000000|1
real-kernel|GCX-y32|139517589|6291456|0,007517105000000|10
real-kernel|GCX-y32|139517589|6291456|0,009571409000000|100
real-kernel|GCX-y32|139517589|6291456|0,041653081000000|1000
real-kernel|GCX-y32|139517589|6291456|0,332178671000000|10000
real-kernel|GCX-y2|451897115|6291456|0,002778501000000|1
real-kernel|GCX-y2|451897115|6291456|0,002885336000000|10
real-kernel|GCX-y2|451897115|6291456|0,004572804000000|100
real-kernel|GCX-y2|451897115|6291456|0,021505720000000|1000
real-kernel|GCX-y2|451897115|6291456|0,192252294000000|10000
real-kernel|GCX-y4|105991529|6291456|0,018396836000000|1
real-kernel|GCX-y4|105991529|6291456|0,017894187000000|10
real-kernel|GCX-y4|105991529|6291456|0,022047502000000|100
real-kernel|GCX-y4|105991529|6291456|0,097288325000000|1000
real-kernel|GCX-y4|105991529|6291456|0,767353000000000|10000
real-kernel|GCX-y8|94740288|6291456|0,009599521000000|1
real-kernel|GCX-y8|94740288|6291456|0,008891076000000|10
real-kernel|GCX-y8|94740288|6291456|0,012857638000000|100
real-kernel|GCX-y8|94740288|6291456|0,062105949000000|1000
real-kernel|GCX-y8|94740288|6291456|0,417719491000000|10000
real-kernel|GCX-y16|114830979|6291456|0,010084696000000|1
real-kernel|GCX-y16|114830979|6291456|0,007913539000000|10
real-kernel|GCX-y16|114830979|6291456|0,012620460000000|100
real-kernel|GCX-y16|114830979|6291456|0,045047458000000|1000
real-kernel|GCX-y16|114830979|6291456|0,363361790000000|10000
real-kernel|GC2|106983367|6291456|0,018863428000000|1
real-kernel|GC4|100798093|6291456|0,010075673000000|1
real-kernel|GC8|102377929|6291456|0,007368269000000|1
real-kernel|GC16|125334133|6291456|0,005921379000000|1
real-kernel|GC32|171186017|6291456|0,005211348000000|1
real-kernel|GC64|208720569|6291456|0,004581602000000|1
real-kernel|GC128|233248097|6291456|0,004214129000000|1
real-kernel|GC2|106983367|6291456|0,018601971000000|10
real-kernel|GC4|100798093|6291456|0,010921198000000|10
real-kernel|GC8|102377929|6291456|0,007522536000000|10
real-kernel|GC16|125334133|6291456|0,005845707000000|10
real-kernel|GC32|171186017|6291456|0,005220448000000|10
real-kernel|GC64|208720569|6291456|0,004483761000000|10
real-kernel|GC128|233248097|6291456|0,004181185000000|10
real-kernel|GC2|106983367|6291456|0,050797648000000|100
real-kernel|GC4|100798093|6291456|0,024958993000000|100
real-kernel|GC8|102377929|6291456|0,018180588000000|100
real-kernel|GC16|125334133|6291456|0,015429985000000|100
real-kernel|GC32|171186017|6291456|0,010715413000000|100
real-kernel|GC64|208720569|6291456|0,009232714000000|100
real-kernel|GC128|233248097|6291456|0,007444187000000|100
real-kernel|GC2|106983367|6291456|0,212655243000000|1000
real-kernel|GC4|100798093|6291456|0,116374550000000|1000
real-kernel|GC8|102377929|6291456|0,114863642000000|1000
real-kernel|GC16|125334133|6291456|0,106131614000000|1000
real-kernel|GC32|171186017|6291456|0,068065423000000|1000
real-kernel|GC64|208720569|6291456|0,052589211000000|1000
real-kernel|GC128|233248097|6291456|0,036941566000000|1000
real-kernel|GC2|106983367|6291456|1,713307283000000|10000
real-kernel|GC4|100798093|6291456|0,927568584000000|10000
real-kernel|GC8|102377929|6291456|0,827495562000000|10000
real-kernel|GC16|125334133|6291456|0,872908619000000|10000
real-kernel|GC32|171186017|6291456|0,564327565000000|10000
real-kernel|GC64|208720569|6291456|0,386754395000000|10000
real-kernel|GC128|233248097|6291456|0,267040673000000|10000
