file|algorithm|peak|stack|time|substring_size
real-Escherichia_Coli|GCX-y32|96961762|6291456|0,006741253000000|1
real-Escherichia_Coli|GCX-y32|96961762|6291456|0,006375820000000|10
real-Escherichia_Coli|GCX-y32|96961762|6291456|0,008363470000000|100
real-Escherichia_Coli|GCX-y32|96961762|6291456|0,045468701000000|1000
real-Escherichia_Coli|GCX-y32|96961762|6291456|0,369521149000000|10000
real-Escherichia_Coli|GCX-y2|190613891|6291456|0,002344702000000|1
real-Escherichia_Coli|GCX-y2|190613891|6291456|0,002353177000000|10
real-Escherichia_Coli|GCX-y2|190613891|6291456|0,004591000000000|100
real-Escherichia_Coli|GCX-y2|190613891|6291456|0,023623033000000|1000
real-Escherichia_Coli|GCX-y2|190613891|6291456|0,198231064000000|10000
real-Escherichia_Coli|GCX-y4|45061905|6291456|0,003632264000000|1
real-Escherichia_Coli|GCX-y4|45061905|6291456|0,003933517000000|10
real-Escherichia_Coli|GCX-y4|45061905|6291456|0,006877885000000|100
real-Escherichia_Coli|GCX-y4|45061905|6291456|0,046367728000000|1000
real-Escherichia_Coli|GCX-y4|45061905|6291456|0,394296759000000|10000
real-Escherichia_Coli|GCX-y8|37057666|6291456|0,003406830000000|1
real-Escherichia_Coli|GCX-y8|37057666|6291456|0,003371334000000|10
real-Escherichia_Coli|GCX-y8|37057666|6291456|0,005877108000000|100
real-Escherichia_Coli|GCX-y8|37057666|6291456|0,026047727000000|1000
real-Escherichia_Coli|GCX-y8|37057666|6291456|0,211078213000000|10000
real-Escherichia_Coli|GCX-y16|89404309|6291456|0,008965086000000|1
real-Escherichia_Coli|GCX-y16|89404309|6291456|0,009881335000000|10
real-Escherichia_Coli|GCX-y16|89404309|6291456|0,010627744000000|100
real-Escherichia_Coli|GCX-y16|89404309|6291456|0,054608400000000|1000
real-Escherichia_Coli|GCX-y16|89404309|6291456|0,471523389000000|10000
real-Escherichia_Coli|GC2|60132787|6291456|0,013952302000000|1
real-Escherichia_Coli|GC4|56864173|6291456|0,008103117000000|1
real-Escherichia_Coli|GC8|36466485|6291456|0,005834596000000|1
real-Escherichia_Coli|GC16|103035041|6291456|0,005660154000000|1
real-Escherichia_Coli|GC32|107672017|6291456|0,004591724000000|1
real-Escherichia_Coli|GC64|112212589|6291456|0,003988263000000|1
real-Escherichia_Coli|GC128|113602813|6291456|0,003542833000000|1
real-Escherichia_Coli|GC2|60132787|6291456|0,015570421000000|10
real-Escherichia_Coli|GC4|56864173|6291456|0,008388218000000|10
real-Escherichia_Coli|GC8|36466485|6291456|0,006243042000000|10
real-Escherichia_Coli|GC16|103035041|6291456|0,005327201000000|10
real-Escherichia_Coli|GC32|107672017|6291456|0,004957760000000|10
real-Escherichia_Coli|GC64|112212589|6291456|0,003894038000000|10
real-Escherichia_Coli|GC128|113602813|6291456|0,003871022000000|10
real-Escherichia_Coli|GC2|60132787|6291456|0,026808904000000|100
real-Escherichia_Coli|GC4|56864173|6291456|0,015680439000000|100
real-Escherichia_Coli|GC8|36466485|6291456|0,011790995000000|100
real-Escherichia_Coli|GC16|103035041|6291456|0,014285007000000|100
real-Escherichia_Coli|GC32|107672017|6291456|0,010158889000000|100
real-Escherichia_Coli|GC64|112212589|6291456|0,007770397000000|100
real-Escherichia_Coli|GC128|113602813|6291456|0,006291976000000|100
real-Escherichia_Coli|GC2|60132787|6291456|0,149961413000000|1000
real-Escherichia_Coli|GC4|56864173|6291456|0,094130169000000|1000
real-Escherichia_Coli|GC8|36466485|6291456|0,057910449000000|1000
real-Escherichia_Coli|GC16|103035041|6291456|0,108384141000000|1000
real-Escherichia_Coli|GC32|107672017|6291456|0,065487902000000|1000
real-Escherichia_Coli|GC64|112212589|6291456|0,045729134000000|1000
real-Escherichia_Coli|GC128|113602813|6291456|0,032798151000000|1000
real-Escherichia_Coli|GC2|60132787|6291456|1,221368578000000|10000
real-Escherichia_Coli|GC4|56864173|6291456|0,736422232000000|10000
real-Escherichia_Coli|GC8|36466485|6291456|0,406079740000000|10000
real-Escherichia_Coli|GC16|103035041|6291456|0,840109730000000|10000
real-Escherichia_Coli|GC32|107672017|6291456|0,555102116000000|10000
real-Escherichia_Coli|GC64|112212589|6291456|0,374103806000000|10000
real-Escherichia_Coli|GC128|113602813|6291456|0,256909252000000|10000
