file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|peak_comp_mib|peak_decomp_mib|compressed_size_mib|compression_ratio|plain_size_mib
enwiki8|GCX-y2|1000038398|6291456|4.643302|468792988|6291456|0.259151|168783982|100000000|953.710936|447.075832|160.964949|168.783982|95.367432
enwiki8|GCX-y4|1000038438|6291456|7.805584|483940998|6291456|0.506568|83936486|100000000|953.710974|461.522100|80.048071|83.936486|95.367432
enwiki8|GCX-y8|887562214|6291456|7.063861|252006331|6291456|0.456579|71997238|100000000|846.445288|240.331965|68.661917|71.997238|95.367432
enwiki8|GCX-y16|881940709|6291456|7.301916|228231786|6291456|0.358367|71079829|100000000|841.084203|217.658792|67.787007|71.079829|95.367432
enwiki8|GCX-y32|885745356|6291456|7.040058|227388716|6291456|0.387572|77379572|100000000|844.712597|216.854778|73.794910|77.379572|95.367432
enwiki8|GCX-y64|885745900|6291456|6.735433|227388844|6291456|0.389543|77379604|100000000|844.713116|216.854900|73.794941|77.379604|95.367432
enwiki8|GCX-y128|881942585|6291456|7.261228|228232065|6291456|0.353860|71079877|100000000|841.085992|217.659059|67.787053|71.079877|95.367432
enwiki8|GC2|1400034282|6291456|6.047305|494809262|6291456|1.020943|94808470|100000000|1335.176737|471.886885|90.416403|94.808470|95.367432
enwiki8|GC4|1302652840|6291456|4.420353|285304552|6291456|0.574637|85303944|100000000|1242.306557|272.087624|81.352180|85.303944|95.367432
enwiki8|GC8|1285740784|6291456|3.829040|227892852|6291456|0.426178|77892276|100000000|1226.177963|217.335560|74.283863|77.892276|95.367432
enwiki8|GC16|1314123936|6291456|3.593473|233898936|6291456|0.430570|108898184|100000000|1253.246246|223.063408|103.853401|108.898184|95.367432
enwiki8|GC32|1310083280|6291456|3.376579|219288068|6291456|0.374899|106786820|100000000|1249.392776|209.129398|101.839848|106.786820|95.367432
enwiki8|GC64|1305830448|6291456|3.041838|210179748|6291456|0.261602|103925284|100000000|1245.336960|200.443027|99.110874|103.925284|95.367432
enwiki8|GC128|1303008944|6291456|3.217748|205077588|6291456|0.167936|101944020|100000000|1242.646164|195.577229|97.221394|101.944020|95.367432
enwiki8|GCIS-ef|692498437|6291456|7.710700|703169800|6291456|2.034600|64004681|100000000|660.417974|670.594978|61.039620|64.004681|95.367432
enwiki8|PlainSlp_32Fblc|1205150272|3528|46.119741|11776912|5472|0.995274|174805915|100000000|1149.320862|11.231339|166.707911|174.805915|95.367432
enwiki8|7zip|0|0|45.765500|0|0|0.807700|25399244|100000000|0.000000|0.000000|24.222607|25.399244|95.367432
enwiki8|bzip2|7532453|6291456|4.698600|3678573|6291456|2.105300|29008758|100000000|7.183507|3.508161|27.664907|29.008758|95.367432
enwiki8|CBT|4123418624|0|0.000000|0|0|0.000000|95610000|100000000|3932.398438|0.000000|91.180801|95.610000|95.367432
