file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compression_ratio|peak_comp_mib|peak_decomp_mib|compressed_size_mib|plain_size_mib|peak_comp_gib|peak_decomp_gib|compressed_size_gib
pseudo-real-dblp.xml.00001.2|GC2|1468012600|6291456|3.860760|420116304|6291456|0.657403|684680|104857600|0.652962|1400.005913|400.654129|0.652962|100.000000|1.367193|0.391264|0.000638
pseudo-real-dblp.xml.00001.2|GC4|1363267316|6291456|2.607865|210330000|6291456|0.238096|613952|104857600|0.585510|1300.113026|200.586319|0.585510|100.000000|1.269642|0.195885|0.000572
pseudo-real-dblp.xml.00001.2|7zip|0|0|6.861900|0|0|0.130400|167769|104857600|0.159997|0.000000|0.000000|0.159997|100.000000|0.000000|0.000000|0.000156
pseudo-real-dblp.xml.00001.2|GCIS-ef|544873618|6291456|3.991500|644499644|6291456|0.400900|493016|104857600|0.470177|519.631975|614.642757|0.470177|100.000000|0.507453|0.600237|0.000459
pseudo-real-dblp.xml.00001.2|PlainSlp_32Fblc|1260557144|3480|18.876275|724536|10048|0.584638|1761403|104857600|1.679805|1202.160973|0.690971|1.679805|100.000000|1.173985|0.000675|0.001640
pseudo-real-dblp.xml.00001.2|PlainSlp_FblcFblc|1260557144|3480|18.876275|724536|10048|0.584638|1419101|104857600|1.353360|1202.160973|0.690971|1.353360|100.000000|1.173985|0.000675|0.001322
pseudo-real-dblp.xml.00001.2|GCX-y8|978737114|6291456|5.118129|317476926|6291456|0.272248|37852142|104857600|36.098616|933.396448|302.769590|36.098616|100.000000|0.911520|0.295673|0.035253
pseudo-real-dblp.xml.00001.2|GCX-y16|909292102|6291456|4.742441|186186110|6291456|0.178367|11414342|104857600|10.885565|867.168524|177.560911|10.885565|100.000000|0.846844|0.173399|0.010630
pseudo-real-dblp.xml.00001.2|GCX-y32|887541524|6291456|4.621155|163920600|6291456|0.196591|12450428|104857600|11.873653|846.425556|156.326866|11.873653|100.000000|0.826587|0.152663|0.011595
pseudo-real-dblp.xml.00001.2|GCX-y64|865641420|6291456|4.289693|132839004|6291456|0.099888|1757636|104857600|1.676212|825.539989|126.685146|1.676212|100.000000|0.806191|0.123716|0.001637
pseudo-real-dblp.xml.00001.2|GCX-y128|869119865|6291456|4.204147|148167306|6291456|0.112116|23327433|104857600|22.246774|828.857293|141.303354|22.246774|100.000000|0.809431|0.137992|0.021725
pseudo-real-dblp.xml.00001.2|GC8|1311049280|6291456|2.226252|157976904|6291456|0.143682|689784|104857600|0.657829|1250.314026|150.658516|0.657829|100.000000|1.221010|0.147127|0.000642
pseudo-real-dblp.xml.00001.2|GC16|1285066768|6291456|2.237551|131861744|6291456|0.103329|788896|104857600|0.752350|1225.535172|125.753159|0.752350|100.000000|1.196812|0.122806|0.000735
pseudo-real-dblp.xml.00001.2|GC32|1272211344|6291456|2.263386|118955100|6291456|0.086109|988668|104857600|0.942867|1213.275284|113.444424|0.942867|100.000000|1.184839|0.110786|0.000921
pseudo-real-dblp.xml.00001.2|GC64|1265902832|6291456|2.039383|112667396|6291456|0.076694|1251364|104857600|1.193394|1207.259018|107.448002|1.193394|100.000000|1.178964|0.104930|0.001165
pseudo-real-dblp.xml.00001.2|GC128|1262744624|6291456|2.098193|109571728|6291456|0.068623|1420000|104857600|1.354218|1204.247116|104.495743|1.354218|100.000000|1.176023|0.102047|0.001322
pseudo-real-dblp.xml.00001.2|bzip2|7532497|6291456|5.019700|3678617|6291456|1.366400|692708|104857600|0.660618|7.183549|3.508203|0.660618|100.000000|0.007015|0.003426|0.000645
