file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
pseudo-real-dblp.xml.0001.1|GC2|1468013974|6291456|3.875133|420567958|6291456|0.691843|1136430|104857600
pseudo-real-dblp.xml.0001.1|GC4|1363297348|6291456|2.555791|210773300|6291456|0.270929|1057300|104857600
pseudo-real-dblp.xml.0001.1|7zip|0|0|6.8482|0|0|0.1327|205163|104857600
pseudo-real-dblp.xml.0001.1|GCIS-ef|546095166|6291456|3.9397|645044824|6291456|0.4243|947924|104857600
pseudo-real-dblp.xml.0001.1|REPAIR-PlainSlp_32Fblc|1260603736|3512|19.639519|760760|3288|0.609501|2942103|104857600
pseudo-real-dblp.xml.0001.1|REPAIR-PlainSlp_FblcFblc|1260603736|3512|19.639519|760760|3288|0.609501|2357961|104857600
pseudo-real-dblp.xml.0001.1|GCX-y8|978747551|6291456|5.07062|317497483|6291456|0.277065|37872699|104857600
pseudo-real-dblp.xml.0001.1|GCX-y16|909332680|6291456|4.68727|186253456|6291456|0.181563|11481688|104857600
pseudo-real-dblp.xml.0001.1|GCX-y32|880127346|6291456|4.528635|155380654|6291456|0.174142|12383698|104857600
pseudo-real-dblp.xml.0001.1|GCX-y64|868961803|6291456|4.289846|148010268|6291456|0.112447|23170395|104857600
pseudo-real-dblp.xml.0001.1|GCX-y128|864664106|6291456|4.246684|137032930|6291456|0.108703|22178074|104857600
pseudo-real-dblp.xml.0001.1|GC8|1311120880|6291456|2.236884|158502724|6291456|0.147855|1215652|104857600
pseudo-real-dblp.xml.0001.1|GC16|1285214080|6291456|2.235783|132579208|6291456|0.105081|1506360|104857600
pseudo-real-dblp.xml.0001.1|GC32|1272507984|6291456|2.313882|120001972|6291456|0.089125|2035540|104857600
pseudo-real-dblp.xml.0001.1|GC64|1266495984|6291456|2.144914|114235392|6291456|0.077389|2819408|104857600
pseudo-real-dblp.xml.0001.1|GC128|1263927344|6291456|1.994342|111841952|6291456|0.067879|3690224|104857600
pseudo-real-dblp.xml.0001.1|bzip2|7532495|6291456|5.0283|3678615|6291456|1.3477|11563226|104857600
