file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
pseudo-real-dblp.xml.00001.1|GCIS-ef|544874514|6291456|3.929|644483560|6291456|0.395|494431|104857600
pseudo-real-dblp.xml.00001.1|REPAIR-PlainSlp_32Fblc|1260526428|3528|20.154253|662632|8864|0.597827|1721375|104857600
pseudo-real-dblp.xml.00001.1|REPAIR-PlainSlp_FblcFblc|1260526428|3528|20.154253|662632|8864|0.597827|1381281|104857600
pseudo-real-dblp.xml.00001.1|GCX-y8|978733631|6291456|5.041528|317429547|6291456|0.272921|37804763|104857600
pseudo-real-dblp.xml.00001.1|GCX-y16|909280834|6291456|4.718299|186076442|6291456|0.177818|11304674|104857600
pseudo-real-dblp.xml.00001.1|GCX-y32|887475680|6291456|4.744272|163785068|6291456|0.206948|12314896|104857600
pseudo-real-dblp.xml.00001.1|GCX-y64|865641420|6291456|4.4693|132839004|6291456|0.103802|1757636|104857600
pseudo-real-dblp.xml.00001.1|GCX-y128|868768724|6291456|4.274944|147816165|6291456|0.122232|22976292|104857600
pseudo-real-dblp.xml.00001.1|GC8|1311049280|6291456|2.263191|157976904|6291456|0.145612|689784|104857600
pseudo-real-dblp.xml.00001.1|GC16|1285066768|6291456|2.237607|131861744|6291456|0.102169|788896|104857600
pseudo-real-dblp.xml.00001.1|GC32|1272211344|6291456|2.200887|118955100|6291456|0.085725|988668|104857600
pseudo-real-dblp.xml.00001.1|GC64|1265902832|6291456|2.096416|112667396|6291456|0.078534|1251364|104857600
pseudo-real-dblp.xml.00001.1|GC128|1262744624|6291456|2.049699|109571728|6291456|0.06667|1420000|104857600
pseudo-real-dblp.xml.00001.1|bzip2|7532497|6291456|5.056|3678617|6291456|1.3486|11505165|104857600
