file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
pseudo-real-proteins.001.1|GC2|1468007568|6291456|3.917837|424624860|6291456|0.728458|5193476|104857600
pseudo-real-proteins.001.1|GC4|1363581224|6291456|2.743877|214473992|6291456|0.286981|4758088|104857600
pseudo-real-proteins.001.1|7zip|0|0|4.9644|0|0|0.1494|628622|104857600
pseudo-real-proteins.001.1|GCIS-ef|558365601|6291456|4.7913|666003040|6291456|0.5814|5103628|104857600
pseudo-real-proteins.001.1|REPAIR-PlainSlp_32Fblc|1261505480|3480|25.028835|2535848|3384|0.783234|14287043|104857600
pseudo-real-proteins.001.1|REPAIR-PlainSlp_FblcFblc|1261505480|3480|25.028835|2535848|3384|0.783234|11745861|104857600
pseudo-real-proteins.001.1|GCX-y8|944155028|6291456|4.80111|231295148|6291456|0.244997|21570868|104857600
pseudo-real-proteins.001.1|GCX-y16|911475292|6291456|5.127686|190649676|6291456|0.202266|15877908|104857600
pseudo-real-proteins.001.1|GCX-y32|877585460|6291456|4.911036|149295500|6291456|0.176582|9475892|104857600
pseudo-real-proteins.001.1|GCX-y64|874228336|6291456|4.515896|150719266|6291456|0.126713|30317812|104857600
pseudo-real-proteins.001.1|GCX-y128|889967459|6291456|4.284227|160860841|6291456|0.197233|48635095|104857600
pseudo-real-proteins.001.1|GC8|1312471432|6291456|2.227999|163257600|6291456|0.168283|5970576|104857600
pseudo-real-proteins.001.1|GC16|1287133568|6291456|2.330505|138287172|6291456|0.118267|7214372|104857600
pseudo-real-proteins.001.1|GC32|1275678512|6291456|2.226854|127498888|6291456|0.104897|9532504|104857600
pseudo-real-proteins.001.1|GC64|1272295664|6291456|2.320666|122544856|6291456|0.089716|11128872|104857600
pseudo-real-proteins.001.1|GC128|1275051440|6291456|2.163581|123487996|6291456|0.075384|15336316|104857600
pseudo-real-proteins.001.1|bzip2|7532493|6291456|4.7508|3678613|6291456|2.2085|42560201|104857600
