file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|compressed_size_ratio
real-world_leaders|GC2|657559872|6291456|1.136553|199000184|6291456|0.309811|11126568|46968181|23.689587
real-world_leaders|GC4|610973092|6291456|0.771876|104154172|6291456|0.120970|10217148|46968181|21.753340
real-world_leaders|7zip|0|0|2.411100|0|0|0.071300|654328|46968181|1.393130
real-world_leaders|GCIS-ef|247180847|6291456|1.134800|266720409|6291456|0.186400|1809277|46968181|3.852133
real-world_leaders|PlainSlp_32Fblc|565706932|3528|6.117624|1661200|7336|0.277723|5413991|46968181|11.526934
real-world_leaders|PlainSlp_FblcFblc|565706932|3528|6.117624|1661200|7336|0.277723|4436297|46968181|9.445324
real-world_leaders|GCX-y8|423104508|6291456|1.485398|106796356|6291456|0.105457|12850924|46968181|27.360915
real-world_leaders|GCX-y16|408769158|6291456|1.509920|89942754|6291456|0.078259|11653326|46968181|24.811108
real-world_leaders|GCX-y32|397413654|6291456|1.671989|75912944|6291456|0.081487|11856230|46968181|25.243111
real-world_leaders|GCX-y64|394233144|6291456|1.703055|70721144|6291456|0.061427|14349968|46968181|30.552531
real-world_leaders|GCX-y128|396230204|6291456|1.740721|70786316|6291456|0.057733|18590228|46968181|39.580473
real-world_leaders|GC8|590012148|6291456|0.736295|82533580|6291456|0.072770|12080812|46968181|25.721269
real-world_leaders|GC16|582516228|6291456|0.812063|73063536|6291456|0.051483|14352704|46968181|30.558356
real-world_leaders|GC32|583407332|6291456|0.893198|70512480|6291456|0.057633|17672112|46968181|37.625711
real-world_leaders|GC64|589388452|6291456|0.886788|74594804|6291456|0.066247|24690036|46968181|52.567580
real-world_leaders|GC128|599240484|6291456|0.932479|83516300|6291456|0.049859|35075084|46968181|74.678396
real-world_leaders|bzip2|7532477|6291456|1.208300|3678597|6291456|0.392300|3260930|46968181|6.942849
real-world_leaders|CBT|0|0|0|0|0|0|2452730|46968181|00
