file|algorithm|compression_time|decompression_time|plain_size|plain_size_MiB|MiB_per_sec - comp|MiB_per_sec - decomp
real-einstein.en.txt|7zip|23.6294|0.5833|467626544.0|445.9634246826172|18.873243699908468|764.5524167368715
real-einstein.en.txt|GCIS-ef|21.9481|1.4808|467626544.0|445.9634246826172|20.31899912441702|301.16384703040063
real-einstein.en.txt|REPAIR-PlainSlp_32Fblc|94.283648|3.15078|467626544.0|445.9634246826172|4.730018769348182|141.540642216409
real-einstein.en.txt|REPAIR-PlainSlp_FblcFblc|94.283648|3.15078|467626544.0|445.9634246826172|4.730018769348182|141.540642216409
real-einstein.en.txt|GCX-y8|23.587236|1.050517|467626544.0|445.9634246826172|18.906981075807998|424.5180465262506
real-einstein.en.txt|GC8|11.331622|0.744212|467626544.0|445.9634246826172|39.35565664673753|599.2424533367067
real-einstein.en.txt|bzip2|23.279|5.7862|467626544.0|445.9634246826172|19.15732740592883|77.0736277146689
artificial-rs.13|7zip|5.4364|0.2777|216747218.0|206.70625495910645|38.02263537618763|744.3509361148954
artificial-rs.13|GCIS-ef|2.8537|0.7024|216747218.0|206.70625495910645|72.4344727753816|294.2856704998668
artificial-rs.13|REPAIR-PlainSlp_32Fblc|10.039381|0.885595|216747218.0|206.70625495910645|20.589541821264323|233.40946477690866
artificial-rs.13|REPAIR-PlainSlp_FblcFblc|10.039381|0.885595|216747218.0|206.70625495910645|20.589541821264323|233.40946477690866
artificial-rs.13|GCX-y8|4.786608|0.540174|216747218.0|206.70625495910645|43.18428727798609|382.6660575279566
artificial-rs.13|GC8|2.994341|0.272599|216747218.0|206.70625495910645|69.03230292044441|758.2795790120524
artificial-rs.13|bzip2|28.6594|2.6355|216747218.0|206.70625495910645|7.2125116003512435|78.43151392870668
artificial-tm29|7zip|7.4738|0.3895|268435456.0|256.0|34.25299044662688|657.2528883183569
artificial-tm29|GCIS-ef|3.4208|0.8526|268435456.0|256.0|74.83629560336763|300.258034248182
artificial-tm29|REPAIR-PlainSlp_32Fblc|13.168984|1.022619|268435456.0|256.0|19.439616602161564|250.33761351979575
artificial-tm29|REPAIR-PlainSlp_FblcFblc|13.168984|1.022619|268435456.0|256.0|19.439616602161564|250.33761351979575
artificial-tm29|GCX-y8|3.045945|0.250793|268435456.0|256.0|84.04616629650239|1020.7621424840406
artificial-tm29|GC8|1.757341|0.335946|268435456.0|256.0|145.67463002342743|762.0272305668173
artificial-tm29|bzip2|53.704|3.2904|268435456.0|256.0|4.766870251750335|77.80209093119377
real-cere|7zip|331.8336|0.9409|461286644.0|439.9172248840332|1.3257163375982215|467.5493940737945
real-cere|GCIS-ef|21.4|2.4909|461286644.0|439.9172248840332|20.55687966747819|176.60974944158065
real-cere|REPAIR-PlainSlp_32Fblc|71.426177|3.310834|461286644.0|439.9172248840332|6.1590476119705135|132.872027073551
real-cere|REPAIR-PlainSlp_FblcFblc|71.426177|3.310834|461286644.0|439.9172248840332|6.1590476119705135|132.872027073551
real-cere|GCX-y8|19.693929|1.216496|461286644.0|439.9172248840332|22.33770746731306|361.62652806423796
real-cere|GC8|10.690569|1.139108|461286644.0|439.9172248840332|41.15002904747476|386.19448277427006
real-cere|bzip2|18.6071|8.6749|461286644.0|439.9172248840332|23.642438901496377|50.71150386563917
artificial-fib41|7zip|7.0051|0.363|267914296.0|255.50298309326172|36.473852349468494|703.8649671990681
artificial-fib41|GCIS-ef|3.8543|0.8997|267914296.0|255.50298309326172|66.29037259509164|283.98686572553265
artificial-fib41|REPAIR-PlainSlp_32Fblc|14.240083|1.093769|267914296.0|255.50298309326172|17.942520636520285|233.59866945695273
artificial-fib41|REPAIR-PlainSlp_FblcFblc|14.240083|1.093769|267914296.0|255.50298309326172|17.942520636520285|233.59866945695273
artificial-fib41|GCX-y8|5.649493|0.655128|267914296.0|255.50298309326172|45.225825236576405|390.004675564564
artificial-fib41|GC8|3.683337|0.348936|267914296.0|255.50298309326172|69.3672566732997|732.2345160524042
artificial-fib41|bzip2|35.1035|3.3199|267914296.0|255.50298309326172|7.278561485130022|76.96104795122194
pseudo-real-proteins.001.1|7zip|4.9644|0.1494|104857600.0|100.0|20.143421158649584|669.3440428380187
pseudo-real-proteins.001.1|GCIS-ef|4.7913|0.5814|104857600.0|100.0|20.871162315029327|171.9986240110079
pseudo-real-proteins.001.1|REPAIR-PlainSlp_32Fblc|25.028835|0.783234|104857600.0|100.0|3.995391715195693|127.67576484166929
pseudo-real-proteins.001.1|REPAIR-PlainSlp_FblcFblc|25.028835|0.783234|104857600.0|100.0|3.995391715195693|127.67576484166929
pseudo-real-proteins.001.1|GCX-y8|4.80111|0.244997|104857600.0|100.0|20.828516738837475|408.16826328485655
pseudo-real-proteins.001.1|GC8|2.227999|0.168283|104857600.0|100.0|44.88332355624935|594.237088713655
pseudo-real-proteins.001.1|bzip2|4.7508|2.2085|104857600.0|100.0|21.049086469647218|45.27960153950645
pseudo-real-dblp.xml.0001.1|7zip|6.8482|0.1327|104857600.0|100.0|14.60237726701907|753.5795026375282
pseudo-real-dblp.xml.0001.1|GCIS-ef|3.9397|0.4243|104857600.0|100.0|25.38264334847831|235.68230025925052
